view_id,view_name,content_url,workbook_id,workbook_name,project_name
8a6d537f-4076-452e-9956-78412f355acc,ClientesAtendidosHoraSC,CX_Wise_Chats_v3-CH-PY-PA/sheets/ClientesAtendidosHoraSC,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
19dd2cde-6967-45fa-8c6a-a279103eb525,Evolucion Cola General,CX_Wise_Chats_v3-CH-PY-PA/sheets/EvolucionColaGeneral,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
2405c00d-1c83-4deb-a4e1-c381517cc3b8,Fichadas General,CX_Wise_Chats_v3-CH-PY-PA/sheets/FichadasGeneral,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
af97d34b-1f28-42cc-897b-6971f4f5d876,Flujo de casos,CX_Wise_Chats_v3-CH-PY-PA/sheets/Flujodecasos,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
1802f735-2b58-4b85-b23a-96520e228e1f,ResumenActividad General,CX_Wise_Chats_v3-CH-PY-PA/sheets/ResumenActividadGeneral_1,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
dc9df737-feca-4322-9a84-baf8c1068b1f,ResumenGeneral,CX_Wise_Chats_v3-CH-PY-PA/sheets/ResumenGeneral,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
4063e221-8af8-4864-aa38-6be6d7173c8d,Tiempo interaccion,CX_Wise_Chats_v3-CH-PY-PA/sheets/Tiempointeraccion,62575ffd-d165-4217-a896-7fc16a3bbfcb,CX_Wise_Chats_CL/PY/PA,CX Wise Chat OUT
3f24b65a-1b28-4c28-ae76-db0009c78347,Alerta asignacion-General,CX_Wise_Chats_EC-PE-UY/sheets/Alertaasignacion-General,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
d189b245-895a-4744-acec-8f117c9a007b,Casos Cerrados General,CX_Wise_Chats_EC-PE-UY/sheets/CasosCerradosGeneral,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
b890c036-0e13-4132-b7a2-02b504bdd579,Cierre de turno,CX_Wise_Chats_EC-PE-UY/sheets/Cierredeturno,c75dfa7c-120f-482b-8955-ba6e979a2fc5,CX_Wise_Chats_EC/PE/UY,CX Wise Chat OUT
